Symbol,Date,Prev Close,Close Price,Pct Change
DMART,2017-03-21,299.0,641.6,2.145819397993311
DMART,2017-03-22,641.6,638.55,0.9952462593516208
DMART,2017-03-23,638.55,634.85,0.994205622112599
DMART,2017-03-24,634.85,616.9,0.9717256044734977
DMART,2017-03-27,616.9,614.4,0.9959474793321446
DMART,2017-03-28,614.4,628.8,1.0234375
DMART,2017-03-29,628.8,628.25,0.9991253180661578
DMART,2017-03-30,628.25,631.85,1.0057302029446877
DMART,2017-03-31,631.85,637.85,1.0094959246656643
DMART,2017-04-03,637.85,634.25,0.9943560398212745
DMART,2017-04-05,634.25,632.15,0.9966890027591643
DMART,2017-04-06,632.15,664.4,1.0510163726963537
DMART,2017-04-07,664.4,751.2,1.1306441902468394
DMART,2017-04-10,751.2,774.1,1.0304845580404685
DMART,2017-04-11,774.1,778.55,1.005748611290531
DMART,2017-04-12,778.55,762.2,0.9789994220024405
DMART,2017-04-13,762.2,783.25,1.0276174232484911
DMART,2017-04-17,783.25,774.05,0.9882540695818703
DMART,2017-04-18,774.05,730.15,0.9432853174859506
DMART,2017-04-19,730.15,732.8,1.003629391220982
DMART,2017-04-20,732.8,756.3,1.0320687772925765
DMART,2017-04-21,756.3,743.2,0.9826788311516595
DMART,2017-04-24,743.2,726.3,0.9772604951560817
DMART,2017-04-25,726.3,734.8,1.0117031529670935
DMART,2017-04-26,734.8,747.9,1.0178279804028307
DMART,2017-04-27,747.9,740.1,0.9895707982350582
DMART,2017-04-28,740.1,736.5,0.9951357924604782
DMART,2017-05-02,736.5,752.3,1.0214528173794977
DMART,2017-05-03,752.3,756.85,1.0060481191014223
DMART,2017-05-04,756.85,773.25,1.0216687586708066
DMART,2017-05-05,773.25,808.9,1.0461041060459102
DMART,2017-05-08,808.9,780.15,0.9644579057979973
DMART,2017-05-09,780.15,780.05,0.9998718195218868
DMART,2017-05-10,780.05,790.85,1.0138452663290816
DMART,2017-05-11,790.85,761.8,0.9632673705506732
DMART,2017-05-12,761.8,751.8,0.9868731950643214
DMART,2017-05-15,751.8,752.15,1.0004655493482308
DMART,2017-05-16,752.15,750.4,0.9976733364355514
